"St","Re","Fr","moment_1","moment_2","moment_3","moment_4"
0.05,"398","0.052",0.00024766964296455,0.00242350067429964,0.0624906259181444,0.989738464355469
0.2,"398","0.052",0.0002861611941841,0.00375295942650311,0.0737544309013174,1.32250213623047
0.7,"398","0.052",0.00032881472358685,0.00488130092853112,0.0862361574472743,1.62321472167969
1,"398","0.052",0.000344362679616433,0.00517094897004711,0.0907859641010873,1.70883178710938
0.1,"398","Inf",0.000275384854426266,0.00314163493810327,0.0705498118550167,1.24308013916016
0.6,"398","Inf",0.00037740138667566,0.00661664030209863,0.130000758101232,2.87490844726562
1,"398","Inf",0.000423606652236876,0.0076979975760878,0.15692724242399,3.34013366699219
1.5,"398","Inf",0.000472418311432854,0.00862057409872818,0.185372623629519,3.70940399169922
3,"398","Inf",0.000598771442159626,0.0104249053504759,0.259005916741444,4.34068298339844
3,"224","0.3",0.00425931830070754,0.0655809846211355,1.42180719214957,20.9916076660156
0.1,"224","Inf",0.00208136776712704,0.0191655113275289,0.328761834476609,1.74227905273438
0.5,"224","Inf",0.00275051688079541,0.0389854137699999,0.736165551410522,18.6624946594238
0.4,"90","0.052",0.126239382096266,644.21526211722,5021492.80111912,40258239967.097
1,"90","0.052",0.14147344702865,885.164467154139,7221498.68279556,59828361025.6194
0.05,"90","0.3",0.0497185893138184,0,0,0
0.3,"90","0.3",0.0798585714148233,0.389876123376375,4.30169688351452,80.0329170227051
0.6,"90","0.3",0.0959205932688634,0.751571452765418,11.7187128830701,265.037769317627
0.8,"90","0.3",0.104221684220158,0.942936872850339,15.5519366823137,341.821721076965
0.4,"90","Inf",0.0797566007935036,0.341445999824806,3.3645982965827,130.687595367432
0.5,"90","Inf",0.0829504904075631,0.405935745134869,4.6110508441925,159.266815185547
0.6,"90","Inf",0.0862272180447038,0.472475018482207,5.88983188942075,182.617733001709
1.5,"90","Inf",0.117188167818373,1.10770824775716,17.9727024137974,299.972103118896
2,"90","Inf",0.134837907112049,1.47172971886499,24.8607183210552,336.81713104248
